spoofed,sv_elev_1,sv_azimuth_1,sv_snr_1,sv_elev_2,sv_azimuth_2,sv_snr_2,sv_elev_3,sv_azimuth_3,sv_snr_3,sv_elev_4,sv_azimuth_4,sv_snr_4,sv_elev_5,sv_azimuth_5,sv_snr_5,sv_elev_6,sv_azimuth_6,sv_snr_6,sv_elev_7,sv_azimuth_7,sv_snr_7,sv_elev_8,sv_azimuth_8,sv_snr_8,sv_elev_9,sv_azimuth_9,sv_snr_9,sv_elev_10,sv_azimuth_10,sv_snr_10,sv_elev_11,sv_azimuth_11,sv_snr_11,sv_elev_12,sv_azimuth_12,sv_snr_12,sv_elev_13,sv_azimuth_13,sv_snr_13,sv_elev_14,sv_azimuth_14,sv_snr_14,sv_elev_15,sv_azimuth_15,sv_snr_15,sv_elev_16,sv_azimuth_16,sv_snr_16,sv_elev_17,sv_azimuth_17,sv_snr_17,sv_elev_18,sv_azimuth_18,sv_snr_18,sv_elev_19,sv_azimuth_19,sv_snr_19,sv_elev_20,sv_azimuth_20,sv_snr_20,sv_elev_21,sv_azimuth_21,sv_snr_21,sv_elev_22,sv_azimuth_22,sv_snr_22,sv_elev_23,sv_azimuth_23,sv_snr_23,sv_elev_24,sv_azimuth_24,sv_snr_24,sv_elev_25,sv_azimuth_25,sv_snr_25,sv_elev_26,sv_azimuth_26,sv_snr_26,sv_elev_27,sv_azimuth_27,sv_snr_27,sv_elev_28,sv_azimuth_28,sv_snr_28,sv_elev_29,sv_azimuth_29,sv_snr_29,sv_elev_30,sv_azimuth_30,sv_snr_30,sv_elev_31,sv_azimuth_31,sv_snr_31,sv_elev_32,sv_azimuth_32,sv_snr_32,PDOP,HDOP,VDOP
1,0,0,0,0,0,0,0,0,0,-1,-1,51,59,234,51,0,0,0,25,059,51,06,045,49,06,112,49,0,0,0,0,0,0,0,0,0,50,308,51,0,0,0,17,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,322,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,128,51,0,0,0,59,049,51,0,0,0,0,0,0,8.0,4.5,6.7
1,0,0,0,0,0,0,0,0,0,-1,-1,51,59,235,51,0,0,0,26,058,51,06,045,49,07,111,49,0,0,0,0,0,0,0,0,0,50,307,51,0,0,0,16,300,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,323,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,130,52,0,0,0,59,049,51,0,0,0,0,0,0,4.3,1.6,4.0
1,0,0,0,0,0,0,0,0,0,-1,-1,51,59,234,51,0,0,0,25,059,51,06,045,49,06,112,49,0,0,0,0,0,0,0,0,0,50,307,51,0,0,0,17,300,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,322,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,128,51,0,0,0,59,049,51,0,0,0,0,0,0,7.9,4.4,6.6
0,0,0,0,0,0,0,0,0,0,-1,-1,22,37,207,19,0,0,0,05,072,36,01,024,-1,0,0,0,0,0,0,0,0,0,0,0,0,74,332,20,0,0,0,40,307,23,0,0,0,13,129,28,0,0,0,01,152,10,00,330,-1,0,0,0,0,0,0,0,0,0,13,265,24,0,0,0,0,0,0,0,0,0,61,075,34,0,0,0,35,064,42,0,0,0,0,0,0,2.2,1.5,1.6
0,0,0,0,0,0,0,0,0,0,0,0,0,38,207,14,0,0,0,06,072,40,01,025,-1,0,0,0,0,0,0,0,0,0,0,0,0,74,331,20,0,0,0,39,307,19,0,0,0,13,130,37,0,0,0,00,153,-1,00,330,-1,0,0,0,0,0,0,0,0,0,13,265,20,0,0,0,0,0,0,0,0,0,61,076,23,0,0,0,36,063,37,0,0,0,0,0,0,2.2,1.5,1.6
1,0,0,0,0,0,0,0,0,0,-1,-1,50,59,233,51,0,0,0,25,059,51,06,044,49,06,112,49,0,0,0,0,0,0,0,0,0,51,308,51,0,0,0,17,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,322,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,128,51,0,0,0,58,049,51,0,0,0,0,0,0,8.2,4.6,6.8
0,0,0,0,0,0,0,0,0,0,0,0,0,37,207,23,0,0,0,06,072,39,01,025,-1,0,0,0,0,0,0,0,0,0,0,0,0,74,331,20,0,0,0,39,307,18,0,0,0,13,130,37,0,0,0,00,153,-1,00,330,-1,0,0,0,0,0,0,0,0,0,13,265,19,0,0,0,0,0,0,0,0,0,61,076,24,0,0,0,36,064,39,0,0,0,0,0,0,3.7,2.6,2.7
0,0,0,0,0,0,0,0,0,0,-1,-1,22,37,207,18,0,0,0,05,072,35,01,024,-1,0,0,0,0,0,0,0,0,0,0,0,0,74,332,19,0,0,0,40,307,23,0,0,0,13,129,28,0,0,0,01,152,10,00,330,-1,0,0,0,0,0,0,0,0,0,13,265,24,0,0,0,0,0,0,0,0,0,61,075,35,0,0,0,35,064,42,0,0,0,0,0,0,2.2,1.5,1.6
1,0,0,0,0,0,0,0,0,0,-1,-1,51,59,234,51,0,0,0,25,059,51,06,045,49,06,112,49,0,0,0,0,0,0,0,0,0,50,307,51,0,0,0,17,300,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,322,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,128,51,0,0,0,59,049,51,0,0,0,0,0,0,8.0,4.4,6.6
1,0,0,0,0,0,0,0,0,0,-1,-1,50,57,229,51,0,0,0,23,060,51,06,042,49,04,114,-1,0,0,0,0,0,0,0,0,0,53,310,51,0,0,0,19,302,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,320,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,124,52,0,0,0,56,051,52,0,0,0,0,0,0,3.5,2.0,2.8
1,0,0,0,0,0,0,0,0,0,-1,-1,51,59,234,51,0,0,0,25,059,51,06,045,49,06,112,49,0,0,0,0,0,0,0,0,0,50,308,51,0,0,0,17,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,322,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,128,51,0,0,0,59,049,51,0,0,0,0,0,0,8.0,4.5,6.6
1,0,0,0,0,0,0,0,0,0,-1,-1,51,58,232,51,0,0,0,24,059,51,06,044,49,05,113,49,0,0,0,0,0,0,0,0,0,51,309,51,0,0,0,18,301,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,321,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,126,51,0,0,0,57,050,51,0,0,0,0,0,0,4.5,1.5,4.2
1,0,0,0,0,0,0,0,0,0,-1,-1,50,57,230,52,0,0,0,23,060,51,06,043,49,05,113,49,0,0,0,0,0,0,0,0,0,52,309,51,0,0,0,19,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,320,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,125,51,0,0,0,56,051,51,0,0,0,0,0,0,2.3,1.5,1.7
0,0,0,0,0,0,0,0,0,0,0,0,0,38,207,-1,0,0,0,06,072,40,01,025,-1,0,0,0,0,0,0,0,0,0,0,0,0,74,330,-1,0,0,0,39,307,19,0,0,0,13,130,38,0,0,0,00,153,-1,00,330,-1,0,0,0,0,0,0,0,0,0,13,264,20,0,0,0,0,0,0,0,0,0,61,076,24,0,0,0,36,063,36,0,0,0,0,0,0,2.0,1.3,1.6
0,0,0,0,0,0,0,0,0,0,0,0,0,38,207,-1,0,0,0,06,072,40,01,025,-1,0,0,0,0,0,0,0,0,0,0,0,0,74,330,-1,0,0,0,39,307,19,0,0,0,12,130,38,0,0,0,00,153,-1,00,330,-1,0,0,0,0,0,0,0,0,0,13,264,20,0,0,0,0,0,0,0,0,0,61,076,24,0,0,0,36,063,36,0,0,0,0,0,0,2.0,1.3,1.6
1,0,0,0,0,0,0,0,0,0,-1,-1,50,59,234,51,0,0,0,25,059,51,06,044,49,06,112,49,0,0,0,0,0,0,0,0,0,50,308,51,0,0,0,17,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,322,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,128,51,0,0,0,58,049,51,0,0,0,0,0,0,8.1,4.6,6.7
1,0,0,0,0,0,0,0,0,0,-1,-1,50,59,233,51,0,0,0,25,059,50,06,044,49,06,112,49,0,0,0,0,0,0,0,0,0,51,308,51,0,0,0,17,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,322,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,127,51,0,0,0,58,050,51,0,0,0,0,0,0,8.5,4.8,7.0
1,0,0,0,0,0,0,0,0,0,-1,-1,50,57,230,51,0,0,0,23,060,50,06,042,49,05,113,49,0,0,0,0,0,0,0,0,0,53,309,51,0,0,0,19,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,320,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,124,51,0,0,0,56,051,51,0,0,0,0,0,0,4.1,1.9,3.6
1,0,0,0,0,0,0,0,0,0,-1,-1,50,59,234,51,0,0,0,25,059,51,06,045,49,07,112,49,0,0,0,0,0,0,0,0,0,50,307,51,0,0,0,17,300,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,322,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,129,51,0,0,0,59,049,51,0,0,0,0,0,0,3.7,2.3,2.9
1,0,0,0,0,0,0,0,0,0,-1,-1,50,59,235,51,0,0,0,26,058,51,06,045,49,07,112,49,0,0,0,0,0,0,0,0,0,50,307,51,0,0,0,16,300,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,323,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,129,51,0,0,0,59,049,51,0,0,0,0,0,0,4.3,1.6,4.0
1,0,0,0,0,0,0,0,0,0,-1,-1,50,57,230,51,0,0,0,23,060,51,06,043,49,05,113,49,0,0,0,0,0,0,0,0,0,52,309,51,0,0,0,19,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,320,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,125,51,0,0,0,56,051,51,0,0,0,0,0,0,1.8,1.2,1.4
1,0,0,0,0,0,0,0,0,0,-1,-1,50,59,235,51,0,0,0,26,059,51,06,045,49,07,112,49,0,0,0,0,0,0,0,0,0,50,307,51,0,0,0,16,300,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,323,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,129,51,0,0,0,59,049,51,0,0,0,0,0,0,9.8,5.4,8.1
1,0,0,0,0,0,0,0,0,0,-1,-1,50,58,230,51,0,0,0,24,060,51,06,043,49,05,113,49,0,0,0,0,0,0,0,0,0,52,309,51,0,0,0,19,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,321,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,125,51,0,0,0,57,050,51,0,0,0,0,0,0,10.9,9.7,5.0
1,0,0,0,0,0,0,0,0,0,-1,-1,50,58,232,51,0,0,0,24,059,50,06,043,49,05,113,49,0,0,0,0,0,0,0,0,0,51,309,51,0,0,0,18,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,321,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,126,51,0,0,0,57,050,51,0,0,0,0,0,0,4.5,1.5,4.2
1,0,0,0,0,0,0,0,0,0,-1,-1,50,57,230,51,0,0,0,23,060,50,06,042,49,05,113,49,0,0,0,0,0,0,0,0,0,52,309,51,0,0,0,19,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,320,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,124,51,0,0,0,56,051,51,0,0,0,0,0,0,4.1,1.9,3.6
0,0,0,0,0,0,0,0,0,0,0,0,0,37,207,20,0,0,0,05,072,39,01,024,-1,0,0,0,0,0,0,0,0,0,0,0,0,74,331,19,0,0,0,40,307,24,0,0,0,13,130,32,0,0,0,01,153,09,00,330,-1,0,0,0,0,0,0,0,0,0,13,265,24,0,0,0,0,0,0,0,0,0,61,075,33,0,0,0,36,064,42,0,0,0,0,0,0,2.0,1.2,1.6
1,0,0,0,0,0,0,0,0,0,-1,-1,51,58,232,51,0,0,0,24,059,51,06,044,49,06,113,50,0,0,0,0,0,0,0,0,0,51,308,51,0,0,0,18,301,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,321,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,126,51,0,0,0,57,050,52,0,0,0,0,0,0,4.5,1.5,4.2
1,0,0,0,0,0,0,0,0,0,-1,-1,50,58,230,51,0,0,0,24,060,51,06,043,49,05,113,49,0,0,0,0,0,0,0,0,0,52,309,51,0,0,0,19,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,321,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,125,51,0,0,0,57,050,51,0,0,0,0,0,0,10.9,9.7,5.0
1,0,0,0,0,0,0,0,0,0,-1,-1,50,58,232,51,0,0,0,24,059,51,06,044,49,06,113,49,0,0,0,0,0,0,0,0,0,51,308,51,0,0,0,18,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,321,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,127,51,0,0,0,57,050,51,0,0,0,0,0,0,4.5,1.5,4.2
1,0,0,0,0,0,0,0,0,0,-1,-1,51,59,233,52,0,0,0,25,059,51,06,044,49,06,112,49,0,0,0,0,0,0,0,0,0,51,308,52,0,0,0,17,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,322,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,128,52,0,0,0,58,049,52,0,0,0,0,0,0,8.3,4.7,6.9
0,0,0,0,0,0,0,0,0,0,0,0,0,37,207,22,0,0,0,05,072,40,01,024,-1,0,0,0,0,0,0,0,0,0,0,0,0,74,331,16,0,0,0,40,307,20,0,0,0,13,130,36,0,0,0,00,153,-1,00,330,-1,0,0,0,0,0,0,0,0,0,13,265,20,0,0,0,0,0,0,0,0,0,61,076,30,0,0,0,36,064,40,0,0,0,0,0,0,2.0,1.2,1.6
1,0,0,0,0,0,0,0,0,0,-1,-1,50,57,230,51,0,0,0,23,060,50,06,043,49,05,113,49,0,0,0,0,0,0,0,0,0,52,309,51,0,0,0,19,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,321,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,125,51,0,0,0,56,050,51,0,0,0,0,0,0,1.8,1.2,1.4
1,0,0,0,0,0,0,0,0,0,-1,-1,50,59,233,51,0,0,0,25,059,51,06,044,49,06,112,49,0,0,0,0,0,0,0,0,0,51,308,51,0,0,0,17,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,322,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,128,51,0,0,0,58,049,51,0,0,0,0,0,0,8.3,4.6,6.8
0,0,0,0,0,0,0,0,0,0,-1,-1,21,37,207,17,0,0,0,05,072,35,01,024,-1,0,0,0,0,0,0,0,0,0,0,0,0,74,332,19,0,0,0,40,307,23,0,0,0,13,129,29,0,0,0,01,152,10,00,330,-1,0,0,0,0,0,0,0,0,0,13,265,25,0,0,0,0,0,0,0,0,0,61,075,35,0,0,0,35,064,42,0,0,0,0,0,0,2.0,1.2,1.6
1,0,0,0,0,0,0,0,0,0,-1,-1,50,57,230,51,0,0,0,23,060,50,06,042,49,04,114,-1,0,0,0,0,0,0,0,0,0,53,309,51,0,0,0,19,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,320,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,124,51,0,0,0,56,051,51,0,0,0,0,0,0,3.0,1.8,2.4
1,0,0,0,0,0,0,0,0,0,-1,-1,51,57,229,51,0,0,0,23,060,51,06,042,49,04,114,-1,0,0,0,0,0,0,0,0,0,53,310,51,0,0,0,19,302,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,320,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,124,51,0,0,0,56,051,51,0,0,0,0,0,0,2.6,1.6,2.0
0,0,0,0,0,0,0,0,0,0,0,0,0,37,207,20,0,0,0,05,072,40,01,024,-1,0,0,0,0,0,0,0,0,0,0,0,0,74,331,16,0,0,0,40,307,20,0,0,0,13,130,36,0,0,0,00,153,-1,00,330,-1,0,0,0,0,0,0,0,0,0,13,265,21,0,0,0,0,0,0,0,0,0,61,075,33,0,0,0,36,064,41,0,0,0,0,0,0,2.0,1.2,1.6
1,0,0,0,0,0,0,0,0,0,-1,-1,51,59,234,52,0,0,0,25,059,51,06,045,49,06,112,49,0,0,0,0,0,0,0,0,0,50,308,52,0,0,0,17,301,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,322,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,128,51,0,0,0,59,049,51,0,0,0,0,0,0,8.0,4.5,6.6
1,0,0,0,0,0,0,0,0,0,-1,-1,50,59,235,51,0,0,0,26,058,51,06,045,49,07,112,49,0,0,0,0,0,0,0,0,0,50,307,51,0,0,0,16,300,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,323,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,129,51,0,0,0,59,049,51,0,0,0,0,0,0,4.3,1.6,4.0
0,0,0,0,0,0,0,0,0,0,0,0,0,37,207,20,0,0,0,05,072,40,01,024,-1,0,0,0,0,0,0,0,0,0,0,0,0,74,331,16,0,0,0,40,307,20,0,0,0,13,130,36,0,0,0,00,153,-1,00,330,-1,0,0,0,0,0,0,0,0,0,13,265,21,0,0,0,0,0,0,0,0,0,61,075,33,0,0,0,36,064,41,0,0,0,0,0,0,2.0,1.2,1.6
1,0,0,0,0,0,0,0,0,0,-1,-1,50,57,230,51,0,0,0,23,060,50,06,043,49,05,113,49,0,0,0,0,0,0,0,0,0,52,309,51,0,0,0,19,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,321,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,125,52,0,0,0,56,050,51,0,0,0,0,0,0,1.8,1.2,1.4
1,0,0,0,0,0,0,0,0,0,-1,-1,50,59,234,51,0,0,0,25,059,51,06,045,49,06,112,49,0,0,0,0,0,0,0,0,0,50,307,51,0,0,0,17,300,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,322,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,129,51,0,0,0,59,049,51,0,0,0,0,0,0,7.9,4.4,6.6
0,0,0,0,0,0,0,0,0,0,0,0,0,37,207,21,0,0,0,05,072,39,01,024,-1,0,0,0,0,0,0,0,0,0,0,0,0,74,331,19,0,0,0,40,307,23,0,0,0,13,129,31,0,0,0,01,153,09,00,330,-1,0,0,0,0,0,0,0,0,0,13,265,24,0,0,0,0,0,0,0,0,0,61,075,33,0,0,0,36,064,42,0,0,0,0,0,0,2.0,1.2,1.6
1,0,0,0,0,0,0,0,0,0,-1,-1,50,57,229,51,0,0,0,23,060,50,06,042,49,04,114,-1,0,0,0,0,0,0,0,0,0,53,310,52,0,0,0,19,302,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,320,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,124,51,0,0,0,56,051,52,0,0,0,0,0,0,4.1,2.7,3.1
0,0,0,0,0,0,0,0,0,0,0,0,0,37,207,19,0,0,0,05,072,40,01,024,-1,0,0,0,0,0,0,0,0,0,0,0,0,74,331,17,0,0,0,40,307,18,0,0,0,13,130,36,0,0,0,00,153,-1,00,330,-1,0,0,0,0,0,0,0,0,0,13,265,18,0,0,0,0,0,0,0,0,0,61,076,30,0,0,0,36,064,40,0,0,0,0,0,0,2.3,1.5,1.8
0,0,0,0,0,0,0,0,0,0,0,0,0,37,207,22,0,0,0,05,072,40,01,024,-1,0,0,0,0,0,0,0,0,0,0,0,0,74,331,15,0,0,0,40,307,19,0,0,0,13,130,36,0,0,0,00,153,-1,00,330,-1,0,0,0,0,0,0,0,0,0,13,265,21,0,0,0,0,0,0,0,0,0,61,075,31,0,0,0,36,064,40,0,0,0,0,0,0,2.2,1.5,1.6
0,0,0,0,0,0,0,0,0,0,0,0,0,37,207,22,0,0,0,05,072,40,01,024,-1,0,0,0,0,0,0,0,0,0,0,0,0,74,331,16,0,0,0,40,307,18,0,0,0,13,130,36,0,0,0,00,153,-1,00,330,-1,0,0,0,0,0,0,0,0,0,13,265,20,0,0,0,0,0,0,0,0,0,61,076,30,0,0,0,36,064,40,0,0,0,0,0,0,2.0,1.2,1.6
1,0,0,0,0,0,0,0,0,0,-1,-1,50,59,235,51,0,0,0,26,058,51,06,045,49,07,112,49,0,0,0,0,0,0,0,0,0,50,307,51,0,0,0,16,300,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,323,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,129,51,0,0,0,59,049,51,0,0,0,0,0,0,4.3,1.6,4.0
1,0,0,0,0,0,0,0,0,0,-1,-1,50,58,232,51,0,0,0,24,059,51,06,044,49,06,113,49,0,0,0,0,0,0,0,0,0,51,308,51,0,0,0,18,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,321,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,127,51,0,0,0,57,050,51,0,0,0,0,0,0,4.5,1.5,4.2
1,0,0,0,0,0,0,0,0,0,-1,-1,50,59,234,51,0,0,0,25,059,51,06,044,49,06,112,49,0,0,0,0,0,0,0,0,0,50,308,51,0,0,0,17,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,322,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,128,51,0,0,0,58,049,51,0,0,0,0,0,0,8.1,4.6,6.7
1,0,0,0,0,0,0,0,0,0,-1,-1,51,57,230,52,0,0,0,23,060,51,06,042,49,05,113,49,0,0,0,0,0,0,0,0,0,52,309,52,0,0,0,19,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,320,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,125,52,0,0,0,56,051,52,0,0,0,0,0,0,3.1,2.0,2.4
1,0,0,0,0,0,0,0,0,0,-1,-1,50,59,235,51,0,0,0,26,059,51,06,045,49,07,112,49,0,0,0,0,0,0,0,0,0,50,307,51,0,0,0,16,300,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,323,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,129,51,0,0,0,59,049,51,0,0,0,0,0,0,9.7,5.4,8.1
1,0,0,0,0,0,0,0,0,0,-1,-1,50,59,234,51,0,0,0,25,059,51,06,044,49,06,112,49,0,0,0,0,0,0,0,0,0,50,308,51,0,0,0,17,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,322,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,128,51,0,0,0,58,049,51,0,0,0,0,0,0,8.1,4.6,6.8
1,0,0,0,0,0,0,0,0,0,-1,-1,50,58,230,51,0,0,0,24,060,51,06,043,49,05,113,49,0,0,0,0,0,0,0,0,0,52,309,51,0,0,0,19,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,321,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,125,51,0,0,0,56,050,51,0,0,0,0,0,0,2.9,2.0,2.1
1,0,0,0,0,0,0,0,0,0,-1,-1,50,58,233,51,0,0,0,25,059,51,06,044,49,06,112,50,0,0,0,0,0,0,0,0,0,51,308,51,0,0,0,18,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,322,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,127,51,0,0,0,58,050,51,0,0,0,0,0,0,8.6,4.9,7.1
0,0,0,0,0,0,0,0,0,0,0,0,0,37,207,21,0,0,0,05,072,40,01,024,-1,0,0,0,0,0,0,0,0,0,0,0,0,74,331,18,0,0,0,40,307,17,0,0,0,13,130,37,0,0,0,00,153,-1,00,330,-1,0,0,0,0,0,0,0,0,0,13,265,19,0,0,0,0,0,0,0,0,0,61,076,28,0,0,0,36,064,40,0,0,0,0,0,0,3.7,2.6,2.7
1,0,0,0,0,0,0,0,0,0,-1,-1,50,57,230,51,0,0,0,23,060,50,06,042,49,05,113,49,0,0,0,0,0,0,0,0,0,52,309,51,0,0,0,19,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,320,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,124,51,0,0,0,56,051,51,0,0,0,0,0,0,4.1,1.9,3.6
1,0,0,0,0,0,0,0,0,0,-1,-1,50,59,235,51,0,0,0,26,058,51,06,045,49,07,112,49,0,0,0,0,0,0,0,0,0,50,307,51,0,0,0,16,300,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,323,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,129,51,0,0,0,59,049,51,0,0,0,0,0,0,4.3,1.6,4.0
1,0,0,0,0,0,0,0,0,0,-1,-1,50,58,230,51,0,0,0,23,060,50,06,043,49,05,113,49,0,0,0,0,0,0,0,0,0,52,309,51,0,0,0,19,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,321,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,125,51,0,0,0,56,050,51,0,0,0,0,0,0,2.9,2.0,2.1
1,0,0,0,0,0,0,0,0,0,-1,-1,51,59,233,52,0,0,0,25,059,51,06,044,49,06,112,49,0,0,0,0,0,0,0,0,0,51,308,52,0,0,0,17,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,322,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,128,52,0,0,0,58,049,52,0,0,0,0,0,0,8.3,4.7,6.9
1,0,0,0,0,0,0,0,0,0,-1,-1,51,57,230,51,0,0,0,23,060,50,06,042,49,04,114,-1,0,0,0,0,0,0,0,0,0,53,310,51,0,0,0,19,301,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,320,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,124,51,0,0,0,56,051,51,0,0,0,0,0,0,15.4,8.5,12.8
1,0,0,0,0,0,0,0,0,0,-1,-1,51,57,229,51,0,0,0,23,060,50,06,042,49,04,114,-1,0,0,0,0,0,0,0,0,0,53,310,51,0,0,0,19,302,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,320,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,124,51,0,0,0,56,051,51,0,0,0,0,0,0,2.6,1.6,2.0
